publishyear,publisher,quote,bookname,author,translator,num,stars,price
2002-12,上海译文出版社,交叉平行蒙太奇,世界尽头与冷酷仙境,[日] 村上春树,林少华,107,8.5,23.00元
2010-10,沈阳出版社,会说话的人运气都不会太差,蔡康永的说话之道,蔡康永 著,,108,7.2,25.00元
2008-3,长江文艺出版社,真正的片段式写作,陪安东尼度过漫长岁月,安东尼,,109,8.4,18.00
2006-6,译林出版社,那些微尘般漂浮的生活,芒果街上的小屋,[美国] 桑德拉·希斯内罗丝,潘帕,110,7.8,24.50元
2007-7,上海译文出版社,初读是色情，再读是爱情，三读是世情,挪威的森林,[日] 村上春树,林少华,111,8.4,23.00元
2005-1,长春出版社,全剧终,灌篮高手31,[日] 井上雄彦,邹宁,112,9.5,7.50元
2007-7,上海译文出版社,暗恋的极致,一个陌生女人的来信,[奥] 斯台芬·茨威格,张玉书,113,8.7,20.00元
2007-6,北京燕山出版社,资产阶级的道貌岸然,羊脂球,（法）莫泊桑,柳鸣九,114,8.1,13.50元
2002-1,广西民族出版社,最早的荒野求生,鲁滨逊漂流记,[英] 笛福,马静,115,8.0,9.20元
2009-3-1,南海出版公司,你自己就是最大的宝藏,牧羊少年奇幻之旅,[巴西]保罗·柯艾略,丁文林,116,8.6,25.00元
2008-5,上海锦绣文章出版社,王小波与李银河的两地书,爱你就像爱生命,王小波,,117,8.8,18.00元
2002-1,作家出版社,属于少年的日子飞驰而过,像少年啦飞驰,韩寒,,118,7.3,16.00元
1998-7,译林出版社,澳洲乱世情,荆棘鸟,[澳] 考琳·麦卡洛,曾胡,119,8.6,28.00元
2007-11,长江文艺出版社,“要有最朴素的生活，与最遥远的梦想“,被窝是青春的坟墓,七堇年,,120,7.8,22.00元
2014-5,南海出版公司,一碗精心熬制的东野牌鸡汤，拒绝很难,解忧杂货店,[日] 东野圭吾,李盈春,121,8.6,39.50元
2001-2,上海译文出版社,村上之发轫，多少人的青春启蒙,挪威的森林,[日] 村上春树,林少华,122,8.0,18.80元
2003-7,上海译文出版社,朝向媚俗的一次伟大的进军,不能承受的生命之轻,[捷克] 米兰·昆德拉,许钧,123,8.5,23.00元
2008-1,重庆出版社,你我不过都是虫子,三体,刘慈欣,,124,8.8,23.00
1996-12,人民文学出版社,谁解其中味？,红楼梦,[清] 曹雪芹 著,,125,9.5,59.70元
2008-9,南海出版公司,数学好是一种极致的浪漫,嫌疑人X的献身,[日] 东野圭吾,刘子倩,126,8.9,28.00
2003-11,春风文艺出版社,只是青春留下的余烬,梦里花落知多少,郭敬明,,127,7.2,20.00元
2004-2,上海人民出版社,一切畅销的因素都有了,达·芬奇密码,[美] 丹·布朗,朱振武,128,8.2,28.00元
2010-6,文化艺术出版社,嬉笑怒骂的常识分子,佛祖在一号线,李海鹏,,129,8.2,25.00元
2002-2,广西师范大学出版社,静美又残酷，无限柔软的川端,伊豆的舞女,[日] 川端康成,叶渭渠,130,8.1,23.80元
2005-2,人民文学出版社,科学与宗教的大乱斗,天使与魔鬼,[美] 丹.布朗,朱振武,131,8.2,29.80元
2009-1,陕西师范大学出版社,杜拉拉跳槽记,杜拉拉2华年似水,李可,,132,7.3,28.00
2009-1,上海锦绣文章出版社,治愈,阿狸·梦之城堡,hans,,133,9.0,36.80元
2007-12,长江文艺出版社,所有须臾，化为不朽,不朽,落落,,134,7.6,22.00
2008-11,中国城市出版社,吸引力法则,秘密,[澳] 朗达·拜恩,谢明宪,135,7.3,32.00
2009年,中国海关出版社,大明崇祯万万年,明朝那些事儿（柒）：大结局,当年明月,,136,9.0,29.80元
2003-8,哈尔滨出版社,游荡的自由灵魂,撒哈拉的故事,三毛,,137,9.2,15.80元
1997-10,中国青年出版社,沉默是沉默者的通行证,沉默的大多数,王小波,,138,9.0,27.00元
1982-6,人民文学出版社,潜藏于残缺下的美与崇高,巴黎圣母院,[法]雨果,陈敬容,139,8.3,22.50元
2007-9,江苏文艺出版社,明净单纯,山楂树之恋,艾米,,140,7.9,25.00元
2007-3,译林出版社,反英雄霍尔顿的一生,麦田里的守望者,[美国] J. D. 塞林格,孙仲旭,141,8.0,28.00元
1999-11-1,知识出版社,那时候，去麦当劳约会还很高端……,第一次的亲密接触,蔡智恒,,142,7.4,12.80
2004-7,天津人民出版社,一场误会中的两段爱情，东方式的含蓄隐忍,情书,[日] 岩井俊二,穆晓芳,143,8.6,18.00元
1997-2,译林出版社,塞林格的麦田里，到处是坠落的青春,麦田里的守望者,[美国] J. D. 塞林格,施咸荣,144,7.9,7.80元
2006-1,二十一世纪出版社,可能是韩寒最好笑的小说,一座城池,韩寒,,145,7.4,19.90元
1994-5,三联书店,至情至性，情大于武,神雕侠侣,金庸,,146,8.8,76.8
2001-9,南海出版公司,安妮宝贝第一部长篇，现实与虚构的重合,彼岸花,安妮宝贝,,147,7.8,20.00元
2013-1-1,广西师范大学出版社,在这里看见中国,看见,柴静,,148,8.8,39.80元
2010-9,国际文化出版公司,车手韩寒的公路小说,1988：我想和这个世界谈谈,韩寒,,149,7.9,25.00元
2007-4,朝华出版社,倒追有风险，入行需谨慎,何以笙箫默,顾漫,,150,8.0,15.00元
2011-6,南海出版公司,尼采所谓的永劫复归，一场无始无终的梦魇,百年孤独,[哥伦比亚] 加西亚·马尔克斯,范晔,151,9.2,39.50元
2005-1,人民文学出版社,中国当代城乡生活全景,平凡的世界（全三部）,路遥,,152,9.0,64.00元
2003-11,世界图书出版公司,灰姑娘在十九世纪,简爱,[英] 夏洛蒂·勃朗特,,153,8.5,18.00元
2000-9,人民文学出版社,羽加迪姆勒维奥萨！,哈利·波特与魔法石,[英] J. K. 罗琳,苏农,154,9.0,19.50元
2002-2,辽宁教育出版社,黑暗世界中的点滴亮光,地下铁,幾米,,156,8.3,32.00元
2006-7,人民文学出版社,希望让人自由，电影实在太有名,肖申克的救赎,[美] 斯蒂芬·金,施寄青,157,9.1,29.90元
2011-1,现代出版社,现实不如梦中的圆满,华胥引（全二册）,唐七公子,,158,8.6,39.80元
2009-1,万卷出版公司,总有光芒将你引导到清澈的地方,他的国,韩寒,,159,7.5,25.00元
2000-9,译林出版社,革命时期的爱情，随风而逝,飘,[美国] 玛格丽特·米切尔,李美华,160,9.3,40.00元
2010-1,上海三联书店,犀利又温柔，穿过胸口隐隐作痛,送你一颗子弹,刘瑜,,161,8.6,25.00元
1997-3-1,花城出版社,一段姻缘，需要一座城的倾覆来成全,倾城之恋,张爱玲,,162,8.5,11.00
1993-7,人民文学出版社,所有现代言情小说的母体,傲慢与偏见,[英] 奥斯丁,张玲,163,8.8,13.00元
2010-2,武汉大学出版社,简称“疯癫与文明”,天才在左 疯子在右,高铭,,164,8.3,29.80元
2004-8,中国青年出版社,韩少也会借古喻今了,长安乱,韩寒,,165,7.4,20.00元
1994-5,三联书店,“有情皆孽，无人不冤”,天龙八部,金庸,,166,9.1,96.0
2007-7-21,Arthur A. Levine Books,final episode,Harry Potter and the Deathly Hallows,J.K.Rowling,,167,8.9,34.99美元
2013-11-1,湖南文艺出版社,戳中了现代人的某些柔软之处,从你的全世界路过,张嘉佳,,168,7.2,36.00元
2005-10,人民文学出版社,感情线纷乱的一部。再见邓布利多,哈利·波特与混血王子,[英] J. K. 罗琳,马爱农,169,8.8,58.00元
2007-9,上海译文出版社,冬日暖阳的温煦感,一个人的好天气,[日] 青山七惠,竺家荣,170,7.6,15.00元
2010-1-1,南海出版公司,东野圭吾处女作,放学后,[日]东野圭吾,赵峻,171,7.6,20.00元
2009-6,南海出版公司,无缘由的恨，冰冷彻骨,恶意,[日] 东野圭吾,娄美莲,172,8.4,18.00
2005-2,春风文艺出版社,当青春遁入歧途,1995-2005夏至未至,郭敬明,,173,7.4,24.00元
1999-04,作家出版社,最平易近人的哲学入门,苏菲的世界,（挪威）乔斯坦·贾德,萧宝森,174,8.5,26.80
1998-9,南海出版公司,余华的悲凉，都在那一碗炒猪肝里了,许三观卖血记,余华,,175,8.7,16.80元
2007-1,中国友谊出版公司,想象奇诡的大型RPG游戏,盗墓笔记,南派三叔,,176,8.4,26.80元
2007-2,新世界出版社,爱情才是终极的奢侈品,喜宝,亦舒,,177,8.1,22.00元
2003-9,人民文学出版社,暴脾气的哈利,哈利·波特与凤凰社,[英] J. K. 罗琳,马爱农,178,8.7,59.00元
2003-4,上海译文出版社,背负诅咒的少年，平行世界中的奥德赛,海边的卡夫卡,[日] 村上春树,林少华,179,8.1,25.00元
1976,皇冠出版社,关于漂泊的一切,撒哈拉的故事,三毛,,180,9.0,160 TWD
2001-4,东方出版中心,“历史文化散文”,文化苦旅,余秋雨,,181,7.8,22.00元
1998-05,人民文学出版社,是非成败转头空,三国演义（全二册）,[明] 罗贯中,,182,9.2,39.50元
1991-12-1,上海译文出版社,完美的复仇，金庸用法语写作应该就是这样,基督山伯爵,大仲马,周克希,183,8.9,43.90元
2003-1,南海出版公司,真正懂孩子的教育经,窗边的小豆豆,[日] 黑柳彻子 著,赵玉皎,184,8.7,20.00元
2009-1,沈阳出版社,大风刮过有话要说,三生三世 十里桃花,唐七公子,,185,8.1,26.80
2012-8-1,作家出版社,生的苦难与伟大,活着,余华,,186,9.3,20.00元
2005-8,上海文艺出版社,历史苦难中的个人灾变,兄弟（上）,余华,,187,8.3,16.00元
1999-3,花城出版社,能把性爱写得如此坦荡的，大概只有王二了,黄金时代,王小波,,188,8.8,19.00元
2001-4,光明日报出版社,猴子还是那个猴子，世界早已不是原来的世界,悟空传,今何在,,189,8.4,14.80元
2008-5,重庆出版社,无边的黑暗森林，比第一部更为恢弘壮丽,三体Ⅱ,刘慈欣,,190,9.2,32.00
2000-5,作家出版社,“我是金子，我要发光的”,三重门,韩寒,,191,7.4,16.00
2007-9,陕西师范大学出版社,职场丛林生存手册,杜拉拉升职记,李可,,192,7.8,26.00元
2010-11,重庆出版社,终章，何去何从,三体Ⅲ,刘慈欣,,193,9.2,38.00元
2006-9,中国友谊出版公司,历史本就是一件件“事儿”拼成的,明朝那些事儿（壹）,当年明月,,194,8.8,24.80
2000-9,人民文学出版社,小天狼星布莱克,哈利·波特与阿兹卡班的囚徒,[英] J. K. 罗琳,郑须弥,195,8.9,26.50元
2000-9,人民文学出版社,渐入佳境，魔法世界全貌初现,哈利·波特与密室,[英] J. K. 罗琳,马爱新,196,8.8,22.00元
2009-10,生活·读书·新知三联书店,不必追,目送,龙应台,,197,8.7,39.00元
2005-7,上海译文出版社,我已经老了，你呢？,情人,[法] 玛格丽特·杜拉斯,王道乾,198,8.1,20.00元
2003-1,春风文艺出版社,如今的小四已经无法评价，往事犹可追,幻城,郭敬明,,199,7.1,28.00元
2007-8,朝华出版社,青春总是用残忍的方式提醒你它已退场,致我们终将逝去的青春,辛夷坞,,200,7.9,25.00元
1997-5,生活·读书·新知三联书店,见微知著，历史观的颠覆,万历十五年,[美] 黄仁宇,,201,8.9,18.00元
2010-7-6,书海出版社,独唱的人多了，也便成了团,独唱团（第一辑）,韩寒 主编,,202,7.8,16.00元
2010-5,南海出版公司,村上的野望，欢迎来到1Q84年,1Q84 BOOK 1,[日] 村上春树,施小炜,203,8.3,36.00元
2006-3,作家出版社,三个生命的交逢，灵魅清冷,莲花,安妮宝贝,,204,8.0,25.00元
2004-4,长江文艺出版社,我们都是 狼的传人？,狼图腾,姜戎,,205,8.3,32.00元
2009-8,江苏文艺出版社,一场盛大的意淫,微微一笑很倾城,顾漫,,206,8.1,25.00
2001-5,人民文学出版社,整个系列的分水岭，暗色渐浓,哈利·波特与火焰杯,[英] J. K. 罗琳,马爱新,207,8.9,39.80元
2003-7,生活·读书·新知三联书店,平淡，坚忍，温情,我们仨,杨绛,,208,8.6,18.80元
2013-1-1,南海出版公司,封面剧透,白夜行,东野圭吾,刘姿君,209,9.2,39.50元
2002-8,生活·读书·新知三联书店,两条平行线相遇的可能,向左走·向右走,幾米,,210,8.4,16.00元
2002-4,北岳文艺出版社,如水一般的忧愁与怅惘,边城,沈从文,,211,8.6,12.00元
2006-8,上海译文出版社,有多少人会经历顿悟，就有更少的人甘愿自我放逐,月亮和六便士,[英] 毛姆,傅惟慈,212,8.9,15.00元
2007-5,长江文艺出版社,少年不识愁滋味,悲伤逆流成河,郭敬明,,213,6.3,24.00元
1988-12-1,北京十月文艺出版社,时代烙印鲜明的民族史诗,穆斯林的葬礼,霍达,,214,8.3,32.00
2007-3,上海译文出版社,太阳底下并无新事,动物农场,[英] 乔治·奥威尔,荣如德,215,9.2,10.00元
2011-1,上海译文出版社,中国在路上，非虚构写作所能达到的高度,寻路中国,[美] 彼得·海斯勒,李雪顺,216,9.0,33.00元
2009-11,重庆出版集团,平民视角下的台湾大事记,我们台湾这些年,廖信忠,,217,7.4,29.80元
2006-12,天津人民出版社,残酷青春的艰难呼吸,关于莉莉周的一切,[日] 岩井俊二,张苓,218,7.7,28.00元
1998-01,中央编译出版社,群氓心理剖析,乌合之众,(法)古斯塔夫.勒庞,冯克利,219,8.3,16.00元
1999-12-01,吉林美术出版社,满满的回忆,机器猫哆啦A梦23,藤子・F・不二雄,碧日,220,9.4,8.00
2011-1-7,北京十月文艺出版社,不枉来这世上走一遭,撒哈拉的故事,三毛,,221,9.3,24.00元
2011-1,南海出版公司,兜了一大圈，村上还是回归了他的小确幸,1Q84 BOOK 3,[日] 村上春树,施小炜,222,7.6,39.50元
2007-1,长江文艺出版社,两代人的成长与救赎,大地之灯,七堇年,,223,8.2,22.00元
